Title,Released,Seasons,Episode,imdbRating,imdbID,Show,Downloaded?
Everything Changes,2006-10-22,1,1,7.6,tt0772650,Torchwood,Y
Day One,2006-10-22,1,2,6.8,tt0852919,Torchwood,Y
Ghost Machine,2006-10-29,1,3,7.5,tt0852920,Torchwood,Y
Cyberwoman,2006-11-05,1,4,6.4,tt0852921,Torchwood,Y
Small Worlds,2006-11-12,1,5,7.2,tt0881831,Torchwood,Y
Countrycide,2006-11-19,1,6,7.8,tt0887098,Torchwood,Y
Greeks Bearing Gifts,2006-11-26,1,7,7.4,tt0852918,Torchwood,Y
They Keep Killing Suzie,2006-12-03,1,8,7.9,tt0887099,Torchwood,Y
Random Shoes,2006-12-10,1,9,7.9,tt0898059,Torchwood,Y
Out of Time,2006-12-17,1,10,8.3,tt0898831,Torchwood,Y
Combat,2006-12-24,1,11,7,tt0918317,Torchwood,Y
Captain Jack Harkness,2007-01-01,1,12,8.4,tt0898830,Torchwood,Y
End of Days,2007-01-01,1,13,7.9,tt0912349,Torchwood,Y
"Kiss Kiss, Bang Bang",2008-01-16,2,1,8.1,tt1153680,Torchwood,Y
Sleeper,2008-01-23,2,2,7.6,tt1160003,Torchwood,Y
To the Last Man,2008-01-30,2,3,7.9,tt1160284,Torchwood,Y
Meat,2008-02-06,2,4,7.6,tt1160285,Torchwood,Y
Adam,2008-02-13,2,5,8,tt1160001,Torchwood,Y
Reset,2008-02-13,2,6,8,tt1160002,Torchwood,Y
Dead Man Walking,2008-02-20,2,7,7.8,tt1186346,Torchwood,Y
A Day in the Death,2008-02-27,2,8,7.9,tt1186345,Torchwood,Y
Something Borrowed,2008-03-05,2,9,7.8,tt1186347,Torchwood,Y
From Out of the Rain,2008-03-12,2,10,7.1,tt1190503,Torchwood,Y
Adrift,2008-03-19,2,11,8.2,tt1190500,Torchwood,Y
Fragments,2008-03-21,2,12,8.5,tt1190502,Torchwood,Y
Exit Wounds,2008-04-04,2,13,8.9,tt1190501,Torchwood,Y
Children of Earth: Day One,2009-07-06,3,1,8.9,tt1288549,Torchwood,Y
Children of Earth: Day Two,2009-07-07,3,2,8.8,tt1287276,Torchwood,Y
Children of Earth: Day Three,2009-07-08,3,3,8.8,tt1287277,Torchwood,Y
Children of Earth: Day Four,2009-07-09,3,4,9.2,tt1287278,Torchwood,Y
Children of Earth: Day Five,2009-07-10,3,5,9.1,tt1287279,Torchwood,Y
Miracle Day: The New World,2011-07-08,4,1,7.8,tt1798034,Torchwood,Y
Miracle Day: Rendition,2011-07-15,4,2,7.7,tt1819351,Torchwood,Y
Miracle Day: Dead of Night,2011-07-22,4,3,7.4,tt1819350,Torchwood,Y
Miracle Day: Escape to LA,2011-07-29,4,4,7.4,tt1819345,Torchwood,Y
Miracle Day: The Categories of Life,2011-08-05,4,5,7.6,tt1819344,Torchwood,Y
Miracle Day: The Middle Men,2011-08-12,4,6,7.1,tt1819348,Torchwood,Y
Miracle Day: Immortal Sins,2011-08-19,4,7,7.3,tt1819347,Torchwood,Y
Miracle Day: End of the Road,2011-08-26,4,8,7.4,tt1819343,Torchwood,Y
Miracle Day: The Gathering,2011-09-02,4,9,7.6,tt1819346,Torchwood,Y
Miracle Day: The Blood Line,2011-09-09,4,10,7.8,tt1819349,Torchwood,Y