Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Limbic Resonance,2015-06-05,1,1,7.6,tt3818888,Sense8,N
I Am Also A We,2015-06-05,1,2,8.1,tt3833452,Sense8,N
Smart Money's on the Skinny Bitch,2015-06-05,1,3,8.4,tt3963482,Sense8,N
What's Going On?,2015-06-05,1,4,8.9,tt3887950,Sense8,N
Art Is Like Religion,2015-06-05,1,5,8.4,tt3887958,Sense8,N
Demons,2015-06-05,1,6,8.6,tt3963484,Sense8,N
WWN Double-D?,2015-06-05,1,7,8.6,tt3852470,Sense8,N
We Will All Be Judged by the Courage of Our Hearts,2015-06-05,1,8,8.9,tt3963678,Sense8,N
Death Doesn't Let You Say Goodbye,2015-06-05,1,9,8.5,tt3963682,Sense8,N
What Is Human?,2015-06-05,1,10,9,tt3818892,Sense8,N
Just Turn the Wheel and the Future Changes,2015-06-05,1,11,9.1,tt3887882,Sense8,N
I Can't Leave Her,2015-06-05,1,12,9.3,tt3887888,Sense8,N
Happy F*cking New Year.,2016-12-23,2,1,8.8,tt5031232,Sense8,N
Who Am I?,2017-05-05,2,2,9.1,tt5362622,Sense8,N
Obligate Mutualisms,2017-05-05,2,3,9,tt5362626,Sense8,N
Polyphony,2017-05-05,2,4,8.7,tt5362884,Sense8,N
Fear Never Fixed Anything,2017-05-05,2,5,8.9,tt5362906,Sense8,N
"Isolated Above, Connected Below",2017-05-05,2,6,8.9,tt5365786,Sense8,N
I Have No Room in My Heart for Hate,2017-05-05,2,7,8.9,tt5365788,Sense8,N
All I Want Right Now Is One More Bullet,2017-05-05,2,8,9.1,tt5365792,Sense8,N
What Family Actually Means,2017-05-05,2,9,9,tt5365798,Sense8,N
"If All the World's a Stage, Identity Is Nothing But a Costume",2017-05-05,2,10,9.2,tt5365796,Sense8,N
You Want a War?,2017-05-05,2,11,9.5,tt6858802,Sense8,N
Amor Vincit Omnia,2018-06-08,2,12,9,tt7083044,Sense8,N